intermediate | Pair2 | take1_2
beginner | Pair3 | take2_1
intermediate | Pair4 | take2_2
professional | Pair5 | take3_1
intermediate | Pair6 | take3_2
professional | Pair7 | take4_1
beginner | Pair8 | take4_2
professional | Pair9 | take1_1
intermediate | Pair2 | take1_2
beginner | Pair3 | take2_1
intermediate | Pair4 | take2_2
professional | Pair5 | take3_1
intermediate | Pair6 | take3_2
professional | Pair7 | take4_1
beginner | Pair8 | take4_2
professional | Pair9 | take1_1
beginner | Pair1 | take1_1
beginner | Pair1 | take1_1
beginner | Pair1 | take1_1
beginner | Pair1 | take1_1
beginner | Pair1 | take1_1
beginner | Pair1 | take1_1
beginner | Pair1 | take1_1
beginner | Pair1 | take1_1
beginner | Pair1 | take1_1
beginner | Pair1 | take1_1
beginner | Pair1 | take1_1
